name,rank,gender
Ruby,97,variant
Java,97,variant
JSON,50,variant
R,97,variant
Swift,97,variant
C++,97,variant
MATLAB,96,variant
Scratch,97,variant
XML,50,variant
SQL,97,variant
Python,97,variant
Delphi/Object Pascal,95,variant
Visual Basic,96,variant
PHP,97,variant
Perl,97,variant
Go,97,variant
CSS,97,variant
HTML,97,variant
Assembly language,95,variant
Excel,97,variant
Objective-C,96,variant
C#,97,variant
C,97,variant
JavaScript,96,variant
Groovy,97,variant
Visual Basic .NET,96,variant
Clip Studio Paint?,30,variant
Groovy,97,male
Visual Basic,97,male
C++,97,male
R,98,male
Java,97,male
Assembly language,96,male
Delphi/Object Pascal,96,male
Swift,97,male
CSS,34,male
XML,3,male
C#,97,male
Ruby,97,male
PHP,97,male
JavaScript,97,male
Visual Basic .NET,96,male
C,98,male
Go,97,male
Objective-C,97,male
Python,97,male
Perl,97,male
MATLAB,97,male
Scratch,97,male
JSON,3,male
HTML,34,male
Excel,82,male
SQL,50,male
Visual Basic,59,male
Excel,11,male
Go,94,male
Python,70,male
C#,83,male
Assembly language,91,male
CSS,6,male
SQL,25,male
PHP,72,male
Java,82,male
Ruby,71,male
Perl,72,male
C,95,male
Visual Basic .NET,65,male
R,39,male
XML,6,male
C++,94,male
Groovy,73,male
JSON,6,male
HTML,7,male
JavaScript,62,male
Python,97,male
Delphi/Object Pascal,96,male
Visual Basic,97,male
Groovy,97,male
Visual Basic .NET,96,male
Go,97,male
PHP,97,male
C,97,male
Assembly language,96,male
JavaScript,97,male
Java,97,male
SQL,97,male
C++,97,male
C#,97,male
Perl,97,male
Objective-C,97,male
Scratch,97,male
Swift,97,male
R,98,male
Ruby,97,male
XML,3,male
JSON,3,male
CSS,35,male
HTML,18,male
SQL,33,male
Excel,57,male
HTML,48,male
Excel,23,male
SQL,36,male
PHP,91,male
CSS,62,male
JavaScript,92,male
JSON,10,male
Visual Basic,79,male
XML,8,male
Java,48,male
Excel,20,male
C,84,male
JSON,6,male
CSS,12,male
Visual Basic .NET,28,male
